id,name,clubName,city,state,country,continent,worldRanking,usRanking,courseType,designer,coDesigners,yearOpened,par,address,phone,website
pine-valley,Pine Valley Golf Club,Pine Valley Golf Club,Pine Valley,NJ,USA,North America,1,1,Private,George Crump,H.S. Colt,1918,70,"1 Pine Valley Club Drive, Pine Valley, NJ 08021",(856) 783-3000,
augusta-national,Augusta National Golf Club,Augusta National Golf Club,Augusta,GA,USA,North America,2,2,Private,Alister MacKenzie,Bobby Jones,1933,72,"2604 Washington Road, Augusta, GA 30904",(706) 667-6000,augustanational.com
royal-county-down,Royal County Down Golf Club,Royal County Down Golf Club,Newcastle,County Down,Northern Ireland,Europe,3,,Private,Old Tom Morris,,1889,71,"36 Golf Links Rd, Newcastle BT33 0AN, UK",+44 28 4372 3314,royalcountydown.org
royal-dornoch,Royal Dornoch Golf Club (Championship),Royal Dornoch Golf Club,Dornoch,Highland,Scotland,Europe,4,,Private,Old Tom Morris,,1886,70,"Golf Rd, Dornoch IV25 3LW, UK",+44 1862 810219,royaldornoch.com
royal-melbourne-west,Royal Melbourne Golf Club (West),Royal Melbourne Golf Club,Black Rock,Victoria,Australia,Oceania,5,,Private,Alister MacKenzie,,1931,72,"Cheltenham Rd, Black Rock VIC 3193, Australia",+61 3 9598 6755,royalmelbourne.com.au
cypress-point,Cypress Point Club,Cypress Point Club,Pebble Beach,CA,USA,North America,6,3,Private,Alister MacKenzie,Robert Hunter,1928,72,"3150 17 Mile Drive, Pebble Beach, CA 93953",(831) 624-2223,
muirfield,Muirfield - The Honourable Company of Edinburgh Golfers,The Honourable Company of Edinburgh Golfers,Gullane,East Lothian,Scotland,Europe,7,,Private,Old Tom Morris,,1891,71,"Duncur Rd, Gullane EH31 2EG, UK",+44 1620 842123,muirfield.org.uk
shinnecock-hills,Shinnecock Hills Golf Club,Shinnecock Hills Golf Club,Southampton,NY,USA,North America,8,4,Private,William Flynn,,1931,70,"200 Tuckahoe Road, Southampton, NY 11968",(631) 283-1310,
st-andrews-old,St Andrews Links (Old Course),St Andrews Links,St Andrews,Fife,Scotland,Europe,9,,Public,Old Tom Morris,,1400,72,"West Sands Rd, St Andrews KY16 9XL, UK",+44 1334 466666,standrews.com
oakmont,Oakmont Country Club,Oakmont Country Club,Oakmont,PA,USA,North America,10,5,Private,Henry Fownes,,1903,70,"1233 Hulton Road, Oakmont, PA 15139",(412) 828-8000,oakmont-countryclub.org
tara-iti,Tara Iti Golf Club,Tara Iti Golf Club,Te Arai,Northland,New Zealand,Oceania,11,,Private,Tom Doak,,2015,72,"1521 Mangawhai Road, Te Arai, New Zealand",+64 9 432 0442,taraiti.com
royal-portrush-dunluce,Royal Portrush Golf Club (Dunluce),Royal Portrush Golf Club,Portrush,County Antrim,Northern Ireland,Europe,12,,Private,Harry S. Colt,,1929,72,"Dunluce Rd, Portrush BT56 8JQ, UK",+44 28 7082 2311,royalportrushgolfclub.com
merion-east,Merion Golf Club (East),Merion Golf Club,Ardmore,PA,USA,North America,13,6,Private,Hugh Wilson,,1912,70,"450 Ardmore Avenue, Ardmore, PA 19003",(610) 642-5600,meriongolfclub.com
shanqin-bay,Shanqin Bay Golf Club,Shanqin Bay Golf Club,Hainan Island,Hainan,China,Asia,14,,Private,Bill Coore,Ben Crenshaw,2012,72,"Wanning, Hainan, China",+86 898 6256 8888,
pebble-beach,Pebble Beach Golf Links,Pebble Beach Golf Links,Pebble Beach,CA,USA,North America,15,7,Resort,Jack Neville,Douglas Grant|H. Chandler Egan,1919,72,"1700 17-Mile Drive, Pebble Beach, CA 93953",(831) 574-5609,pebblebeach.com
national-golf-links,National Golf Links of America,National Golf Links of America,Southampton,NY,USA,North America,16,8,Private,C.B. MacDonald,,1911,72,"Sebonac Inlet Road, Southampton, NY 11968",(631) 283-0410,
cabot-cliffs,Cabot Cliffs,Cabot Cape Breton,Inverness,Nova Scotia,Canada,North America,17,,Resort,Bill Coore,Ben Crenshaw,2016,72,"Point Rd, Inverness, NS B0E 1N0, Canada",+1 855 652 2268,cabotcapebreton.com
trump-turnberry-ailsa,Trump Turnberry (Ailsa),Trump Turnberry,Turnberry,South Ayrshire,Scotland,Europe,18,,Resort,Willie Fernie,MacKenzie Ross|Martin Ebert,1909,70,"Maidens Rd, Turnberry KA26 9LT, UK",+44 1655 331000,trumphotels.com/turnberry
barnbougle-dunes,Barnbougle Dunes,Barnbougle,Bridport,Tasmania,Australia,Oceania,19,,Resort,Tom Doak,Mike Clayton,2004,71,"425 Waterhouse Rd, Bridport TAS 7262, Australia",+61 3 6356 0094,barnbougle.com.au
sunningdale-old,Sunningdale Golf Club (Old),Sunningdale Golf Club,Sunningdale,Berkshire,England,Europe,20,,Private,Willie Park Jr.,H.S. Colt,1901,70,"Ridgemount Rd, Sunningdale, Ascot SL5 9RR, UK",+44 1344 621681,sunningdalegolfclub.co.uk
kingston-heath,Kingston Heath Golf Club,Kingston Heath Golf Club,Cheltenham,Victoria,Australia,Oceania,21,,Private,Des Soutar,Alister MacKenzie,1925,72,"Kingston Rd, Cheltenham VIC 3192, Australia",+61 3 9551 1425,kingstonheath.com.au
morfontaine,Morfontaine Golf Club,Golf de Morfontaine,Mortefontaine,Oise,France,Europe,22,,Private,Tom Simpson,,1927,70,"60128 Mortefontaine, France",+33 3 44 54 68 27,
royal-birkdale,Royal Birkdale Golf Club,Royal Birkdale Golf Club,Southport,Merseyside,England,Europe,23,,Private,George Low Jr.,Fred Hawtree,1889,70,"Waterloo Rd, Southport PR8 2LX, UK",+44 1704 552020,royalbirkdale.com
sand-hills,Sand Hills Golf Club,Sand Hills Golf Club,Mullen,NE,USA,North America,24,9,Private,Bill Coore,Ben Crenshaw,1995,71,"27399 Golf Course Road, Mullen, NE 69152",(308) 546-2466,
winged-foot-west,Winged Foot Golf Club (West),Winged Foot Golf Club,Mamaroneck,NY,USA,North America,25,10,Private,A.W. Tillinghast,,1923,70,"Fenimore Road, Mamaroneck, NY 10543",(914) 698-8400,wfgc.org
fishers-island,Fishers Island Club,Fishers Island Club,Fishers Island,NY,USA,North America,26,11,Private,Seth Raynor,,1926,72,"Fishers Island, NY 06390",(631) 788-7221,
ballybunion-old,Ballybunion Golf Club (Old),Ballybunion Golf Club,Ballybunion,County Kerry,Ireland,Europe,27,,Private,P. Murphy,Tom Simpson,1893,71,"Sandhill Rd, Ballybunion, Co. Kerry, Ireland",+353 68 27146,ballybuniongolfclub.ie
cape-kidnappers,Cape Kidnappers Golf Course,The Farm at Cape Kidnappers,Te Awanga,Hawke's Bay,New Zealand,Oceania,28,,Resort,Tom Doak,,2004,71,"446 Clifton Rd, Te Awanga 4172, New Zealand",+64 6 875 1900,capekidnappers.com
crystal-downs,Crystal Downs Country Club,Crystal Downs Country Club,Frankfort,MI,USA,North America,29,12,Private,Alister MacKenzie,Perry Maxwell,1931,70,"3766 Crystal Downs Drive, Frankfort, MI 49635",(231) 352-7979,
seminole,Seminole Golf Club,Seminole Golf Club,Juno Beach,FL,USA,North America,30,13,Private,Donald Ross,,1929,72,"901 Seminole Boulevard, Juno Beach, FL 33408",(561) 626-0280,
chicago-golf,Chicago Golf Club,Chicago Golf Club,Wheaton,IL,USA,North America,31,14,Private,Charles Blair Macdonald,,1895,70,"25W253 Warrenville Road, Wheaton, IL 60189",(630) 665-2988,
los-angeles-north,Los Angeles Country Club (North),Los Angeles Country Club,Los Angeles,CA,USA,North America,32,15,Private,George C. Thomas Jr.,,1921,72,"10101 Wilshire Blvd, Los Angeles, CA 90024",(310) 276-6104,thelacc.org
lahinch-old,Lahinch Golf Club (Old),Lahinch Golf Club,Lahinch,County Clare,Ireland,Europe,33,,Private,Old Tom Morris,Alister MacKenzie,1892,72,"Lahinch, Co. Clare, Ireland",+353 65 708 1003,lahinchgolf.com
pacific-dunes,Pacific Dunes,Bandon Dunes Golf Resort,Bandon,OR,USA,North America,34,16,Resort,Tom Doak,,2001,71,"57744 Round Lake Drive, Bandon, OR 97411",(541) 347-4380,bandondunesgolf.com
riviera,Riviera Country Club,Riviera Country Club,Pacific Palisades,CA,USA,North America,35,17,Private,George C. Thomas Jr.,,1926,71,"1250 Capri Drive, Pacific Palisades, CA 90272",(310) 454-6591,therivieracountryclub.com
royal-melbourne-east,Royal Melbourne Golf Club (East),Royal Melbourne Golf Club,Black Rock,Victoria,Australia,Oceania,36,,Private,Alex Russell,,1932,72,"Cheltenham Rd, Black Rock VIC 3193, Australia",+61 3 9598 6755,royalmelbourne.com.au
garden-city,Garden City Golf Club,Garden City Golf Club,Garden City,NY,USA,North America,37,18,Private,Devereux Emmet,,1899,73,"315 Stewart Avenue, Garden City, NY 11530",(516) 746-8360,
new-south-wales,New South Wales Golf Club,New South Wales Golf Club,La Perouse,NSW,Australia,Oceania,38,,Private,Alister MacKenzie,Eric Apperly,1928,72,"Henry Head, La Perouse NSW 2036, Australia",+61 2 9661 4455,nswgolfclub.com.au
camargo,Camargo Club,Camargo Club,Indian Hill,OH,USA,North America,39,19,Private,Seth Raynor,,1925,70,"8605 Shawnee Run Road, Indian Hill, OH 45243",(513) 561-0221,
royal-st-georges,Royal St George's Golf Club,Royal St George's Golf Club,Sandwich,Kent,England,Europe,40,,Private,Laidlaw Purves,,1887,70,"Sandwich, Kent CT13 9PB, UK",+44 1304 613090,royalstgeorges.com
streamsong-red,Streamsong (Red),Streamsong Resort,Bowling Green,FL,USA,North America,41,20,Resort,Bill Coore,Ben Crenshaw,2012,72,"1000 Streamsong Drive, Bowling Green, FL 33834",(863) 428-1000,streamsongresort.com
hirono,Hirono Golf Club,Hirono Golf Club,Shijimi,Hyogo,Japan,Asia,42,,Private,Charles Alison,,1932,72,"Shijimi, Miki, Hyogo 673-0541, Japan",+81 794 85 0123,
pinehurst-no2,Pinehurst No. 2,Pinehurst Resort,Pinehurst,NC,USA,North America,43,21,Resort,Donald Ross,,1907,72,"80 Carolina Vista Drive, Pinehurst, NC 28374",(910) 295-6811,pinehurst.com
somerset-hills,Somerset Hills Country Club,Somerset Hills Country Club,Bernardsville,NJ,USA,North America,44,22,Private,A.W. Tillinghast,,1918,70,"180 Mine Mount Road, Bernardsville, NJ 07924",(908) 766-0044,
royal-troon-old,Royal Troon Golf Club (Old),Royal Troon Golf Club,Troon,South Ayrshire,Scotland,Europe,45,,Private,Charles Hunter,Willie Fernie,1878,71,"Craigend Rd, Troon KA10 6EP, UK",+44 1292 311555,royaltroon.com
bandon-dunes,Bandon Dunes,Bandon Dunes Golf Resort,Bandon,OR,USA,North America,46,23,Resort,David McLay Kidd,,1999,72,"57744 Round Lake Drive, Bandon, OR 97411",(541) 347-4380,bandondunesgolf.com
royal-lytham,Royal Lytham & St Annes Golf Club,Royal Lytham & St Annes Golf Club,Lytham St Annes,Lancashire,England,Europe,47,,Private,George Lowe,,1886,70,"Links Gate, Lytham St Annes FY8 3LQ, UK",+44 1253 724206,royallytham.org
old-sandwich,Old Sandwich Golf Club,Old Sandwich Golf Club,Plymouth,MA,USA,North America,48,24,Private,Bill Coore,Ben Crenshaw,2004,72,"52 Talcott Pines Road, Plymouth, MA 02360",(508) 888-9900,
friars-head,Friars Head,Friars Head,Baiting Hollow,NY,USA,North America,49,25,Private,Bill Coore,Ben Crenshaw,2002,72,"595 Sound Avenue, Baiting Hollow, NY 11933",(631) 722-5200,
kawana-fuji,Kawana Hotel Golf Course (Fuji),Kawana Hotel,Ito,Shizuoka,Japan,Asia,50,,Resort,Charles Alison,,1936,72,"1459 Kawana, Ito, Shizuoka 414-0044, Japan",+81 557 45 1111,princehotels.com/kawana
